josephus'
josephus
Operation;circle;cur;last;n;Predicate Sequence;Next Operation;Calls;Source Line No
o_init;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16];0;undefined;16;p_last(0);o_remove;;23
o_remove;[1,3,4,5,6,7,8,9,10,11,12,13,14,15,16];1;;;p_last(0);o_remove;;26
o_remove;[1,3,5,6,7,8,9,10,11,12,13,14,15,16];2;;;p_last(0);o_remove;;29
o_remove;[1,3,5,7,8,9,10,11,12,13,14,15,16];3;;;p_last(0);o_remove;;32
o_remove;[1,3,5,7,9,10,11,12,13,14,15,16];4;;;p_last(0);o_remove;;35
o_remove;[1,3,5,7,9,11,12,13,14,15,16];5;;;p_last(0);o_remove;;38
o_remove;[1,3,5,7,9,11,13,14,15,16];6;;;p_last(0);o_remove;;41
o_remove;[1,3,5,7,9,11,13,15,16];7;;;p_last(0);o_remove;;44
o_remove;[1,3,5,7,9,11,13,15];0;;;p_last(0);o_remove;;47
o_remove;[1,5,7,9,11,13,15];1;;;p_last(0);o_remove;;50
o_remove;[1,5,9,11,13,15];2;;;p_last(0);o_remove;;53
o_remove;[1,5,9,13,15];3;;;p_last(0);o_remove;;56
o_remove;[1,5,9,13];0;;;p_last(0);o_remove;;59
o_remove;[1,9,13];1;;;p_last(0);o_remove;;62
o_remove;[1,9];0;;;p_last(0);o_remove;;65
o_remove;[1];;;;p_last(1);o_last;;68
o_last;;;1;;;HALT;;71

Other trace lines
